,neuronID,r2_score,adj_r2,mean_squared_error,explained_variance_score,baseline,gamma,model,explained_variance_score_task,task,explained_variance_score_choice,choice,explained_variance_score_visC,visC,explained_variance_score_audC,audC,explained_variance_score_audI,audI,hemi,BerylAcronym,bombcell_class,is_good,ml,ap,dv,presenceRatio,percentageSpikesMissing_gaussian,fractionRPVs_estimatedTauR,signalToNoiseRatio,subject,date,fitID,sessionID,audR_behav,audL_behav,visR_behav,visL_behav,gamma_behav,bias_behav,subject_behav,date_behav,SPL_behav,log_loss_behav
175,neuron_1077,0.0146818233307211,0.0104163766784731,71.12129785343569,0.0146820352530153,3.966922339405565,1.0,choice,0.0082645480219517,-1.7964634300353728,0.0058399107642684,-0.7865303379416284,,,,,,,-1.0,SCm,good,True,5021.723398235883,8868.677375027382,1906.703238180992,1.0,0.0077882908854576,0.0,,AV008,2022-03-10,AV008_2022-03-10_neuron_1077,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
178,neuron_1096,0.1395352644298709,0.1339357108361392,228.405134989903,0.1395505472533613,12.420395098646798,1.0,aud_ipsi_choice,0.0143552456255117,-4.607220738169861,0.0026465977842916,-2.0168894386025,,,,,0.0797496703818362,12.572865066969795,-1.0,SCm,good,True,4916.184492694536,9081.859261918917,1898.588647396382,1.0,0.0185893851052387,0.1622087551682134,,AV008,2022-03-10,AV008_2022-03-10_neuron_1096,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
183,neuron_137,0.0128445523223641,0.0064205472398631,32.2061616486502,0.0128904546575605,1.162494011524036,1.0,aud_ipsi_choice,0.002092504290216,0.2007865997721774,0.0036212143601854,-0.4711678840459647,,,,,0.0034050756350806,0.9890659222869784,1.0,SCm,good,True,6974.2092835309095,8842.98171961774,2767.9854685629048,0.8979591836734694,0.1214095840323392,0.0396007539034125,,AV008,2022-03-10,AV008_2022-03-10_neuron_137,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
191,neuron_16,0.02802244176702,0.0216972081993434,53.70312413741394,0.0295103110990939,4.916912918210342,1.0,aud_choice,0.0171037240581731,-1.9442840948443116,0.0013543824692151,-0.5142494551899923,,,0.0041630914546746,0.3990743572969033,,,1.0,SCm,good,True,6809.232401994835,8391.829958020995,2659.15849600516,1.0,0.2965040888914361,0.0598141504456148,,AV008,2022-03-10,AV008_2022-03-10_neuron_16,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
204,neuron_22,0.0201289406250801,0.0137523393710135,97.93970785037754,0.0204620982369583,4.981303840540548,1.0,aud_choice,0.0036437495418035,0.7812343714131655,0.0059490506301825,-0.9832610821099024,,,0.0039480776110161,-0.9401357977790232,,,1.0,SCm,good,True,6813.141089969393,8390.952660931503,2584.004232082182,1.0,0.0643811331552557,0.0320846975821176,,AV008,2022-03-10,AV008_2022-03-10_neuron_22,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
206,neuron_226,0.0508263172960257,0.0467173403146231,304.74629599432586,0.0509251093685321,32.574304889741164,1.0,choice,0.0322078165489663,6.005284203960785,0.010793579718664,-1.8668394777265755,,,,,,,1.0,SCm,good,True,6974.875895434762,8842.448113571314,2749.994711375812,1.0,7.276039910943699,0.0259210581649904,,AV008,2022-03-10,AV008_2022-03-10_neuron_226,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
210,neuron_27,0.0297602766926107,0.0234463522459248,54.99858888700766,0.044847914758153,5.496114641410348,1.0,aud_choice,0.0240906018812152,2.3342592061085385,0.0028687729666564,-0.5385744711181193,,,0.0087281452203538,-1.9930546149414825,,,1.0,SCm,good,True,6818.230567150224,8390.256589948916,2490.0682918724606,1.0,0.5972522260827229,0.0534830267674718,,AV008,2022-03-10,AV008_2022-03-10_neuron_27,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
213,neuron_37,0.0117903168755806,0.007512352879371,55.01456187651203,0.0142646631849576,2.28906999041227,1.0,choice,0.0005793161493008,0.1816481355477861,0.0134216344395389,-1.0114247311827944,,,,,,,1.0,SCs,good,True,6914.190889400627,8628.899526351046,1816.7129266103616,1.0,0.0542382928697571,0.1164051803035831,,AV008,2022-03-10,AV008_2022-03-10_neuron_37,AV008_2022-03-10,2.8953820572761435,-1.0678979501670205,4.35753951128961,-3.9536736054026007,1.101539982570183,-0.5155489743917953,AV008,2022-03-10,high,0.4143602358476661
250,neuron_23,0.089507919053676,0.0796112659999117,13.939782677342237,0.0900079116002262,0.9978593348542084,1.5,av_choice,0.0044005920810202,-0.3465906955465518,0.0044609757045317,-0.2707614524193417,0.0764459326235793,8.810336066824267,0.0014381529847113,0.2275482590535906,,,1.0,SCs,good,True,6646.870346153646,9504.777852975389,1270.9418780811363,0.8513513513513513,0.0353669890919228,0.2036584552052853,,AV014,2022-06-13,AV014_2022-06-13_neuron_23,AV014_2022-06-13,2.7813592151135778,-1.3302210854069794,3.156596384919548,-3.130984283995062,0.885618665037805,0.7909364287945395,AV014,2022-06-13,high,0.4253282014586008
257,neuron_6,0.1206184543604226,0.1110599592991229,66.88535684220679,0.1213982897296178,17.51741276301801,1.2,av_choice,0.0413305786796227,-4.062915307593644,0.0028570974903754,-0.2590582259378222,0.0031529738399804,1.677834444309164,0.0456891093171805,3.3447283456947137,,,1.0,SCm,good,True,6549.678912651724,8919.88856383585,1982.249592987739,1.0,1.7210937109453872,0.0263899168748193,,AV014,2022-06-13,AV014_2022-06-13_neuron_6,AV014_2022-06-13,2.7813592151135778,-1.3302210854069794,3.156596384919548,-3.130984283995062,0.885618665037805,0.7909364287945395,AV014,2022-06-13,high,0.4253282014586008
