,visL,visR,gamma,baseline,audL,audR,neuronID,model_type,r2,mse,adj_r2,hemi,bombcell_class,is_good,BerylAcronym,ml,ap,dv,probeID,firing_rate,amp_median,subject,date
446,0.5561021031317488,0.234634586763276,0.001,4.999633811859371,,,neuron_203,vis,-0.010719904907681599,44.51980533521929,-0.035573673061149114,,mua,False,void,,,,0.0,6.276135513255278,12.045661926269537,AV005,2022-05-12
447,,,,5.33730114433184,,,neuron_203,baseline,-0.0025829332987228337,44.16139110958659,-0.010668279535002823,,mua,False,void,,,,0.0,6.276135513255278,12.045661926269537,AV005,2022-05-12
448,2.1717034525383676,0.43592776268057964,0.001,4.108241916145755,-0.740450713783854,-1.6517087948117841,neuron_204,audiovisual,0.026829729223701415,81.992476328444,-0.013719032058644443,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,5.6333186367856944,10.320209503166382,AV005,2022-05-12
449,,,,5.180723345592563,-0.6777958906587962,-1.5879125997216548,neuron_204,aud,-0.006478593550215406,84.79880112955202,-0.03122806716210591,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,5.6333186367856944,10.320209503166382,AV005,2022-05-12
450,2.0874941220673695,0.36213963883117384,0.001,3.3770895054507433,,,neuron_204,vis,0.03228725967391077,81.53266323130364,0.008491044747859333,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,5.6333186367856944,10.320209503166382,AV005,2022-05-12
451,,,,4.424604958476158,,,neuron_204,baseline,-0.002471797135444209,84.4612166697134,-0.010556247112343042,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,5.6333186367856944,10.320209503166382,AV005,2022-05-12
452,-0.7619867530836024,0.8502263566488102,10.0,2.929859757280132,-0.1113931033452869,0.47975447362701307,neuron_205,audiovisual,-0.003673695448878078,37.73575389351446,-0.045493432759248,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,2.6847783554660527,12.58252143623008,AV005,2022-05-12
453,,,,2.951809179108088,-0.14479247339267626,0.46136580254794546,neuron_205,aud,0.0011676407867615701,37.55373111705608,-0.023393810669301685,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,2.6847783554660527,12.58252143623008,AV005,2022-05-12
454,-0.7497825114149635,0.8659036215289846,10.0,3.0470840325042663,,,neuron_205,vis,-0.014047634019688005,38.12578941461024,-0.03898323157754913,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,2.6847783554660527,12.58252143623008,AV005,2022-05-12
455,,,,3.0555574095599574,,,neuron_205,baseline,-0.009423747764680135,37.95194224242492,-0.017564261859556618,-1.0,noise,False,SCs,4668.11232641494,8878.711573950604,1735.6403078955072,0.0,2.6847783554660527,12.58252143623008,AV005,2022-05-12
456,0.24685789485288812,0.13915277178774588,2.215090847930804,-0.0006549831764872615,-0.0630417357300927,0.11287605526182068,neuron_206,audiovisual,0.0,0.018007471003051164,-0.04166666666666674,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,0.0778673460939909,26.121656409796834,AV005,2022-05-12
457,,,,0.06023171791345737,-0.06022352170318457,0.1194219779995115,neuron_206,aud,0.0,0.012281509565686997,-0.024590163934426146,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,0.0778673460939909,26.121656409796834,AV005,2022-05-12
458,0.2514839264228709,0.1512747480452688,1.9989668712214494,0.010319916324231845,,,neuron_206,vis,0.0,0.013734434751092053,-0.024590163934426146,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,0.0778673460939909,26.121656409796834,AV005,2022-05-12
459,,,,0.07936507097337325,,,neuron_206,baseline,0.0,0.00629881449060857,-0.008064516129032251,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,0.0778673460939909,26.121656409796834,AV005,2022-05-12
460,0.2693214269866281,0.14125762159313685,8.98604294645403,0.004123119130313462,-0.06243166058359788,0.05339738527662941,neuron_207,audiovisual,0.0,0.014504010159562283,-0.04166666666666674,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,0.0755368093270933,15.349326133728026,AV005,2022-05-12
461,,,,0.060240177275236666,-0.06024049874808413,0.05952112446154469,neuron_207,aud,0.0,0.006161982207073941,-0.024590163934426146,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,0.0755368093270933,15.349326133728026,AV005,2022-05-12
462,0.27034710241616733,0.1450118243444989,7.578030414860252,-7.877018239763968e-05,,,neuron_207,vis,0.0,0.012776491900873446,-0.024590163934426146,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,0.0755368093270933,15.349326133728026,AV005,2022-05-12
463,,,,0.05952380929115208,,,neuron_207,baseline,0.0,0.0035430838725294417,-0.008064516129032251,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,0.0755368093270933,15.349326133728026,AV005,2022-05-12
464,0.8838776571802178,1.7138751758088724,0.3654908788682607,0.3272778029095186,-0.28184974385823197,-0.46736068617565896,neuron_208,audiovisual,-0.04306551133110381,11.622467180301856,-0.08652657430323307,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,1.2169514635147136,12.980356216430668,AV005,2022-05-12
465,,,,1.1445774745144792,-0.2673851085602427,-0.4260138783594942,neuron_208,aud,0.0008153400457315829,11.133520177998872,-0.023754774543307766,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,1.2169514635147136,12.980356216430668,AV005,2022-05-12
466,0.8514175098688527,1.6881291342610933,0.36721241311785674,0.09636205659920646,,,neuron_208,vis,-0.0405441173136496,11.59437228223637,-0.06613126773939504,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,1.2169514635147136,12.980356216430668,AV005,2022-05-12
467,,,,0.9126989338430855,,,neuron_208,baseline,-0.00014132649319753554,11.144179935540857,-0.00820698235201367,-1.0,noise,False,SCs,4669.043002283923,8878.97204239171,1720.671361645927,0.0,1.2169514635147136,12.980356216430668,AV005,2022-05-12
468,0.1401490127890744,1.0149144112918118,1.420078650194589,1.1627540636885656,-0.26227530641723257,0.3420350804909338,neuron_209,audiovisual,-0.17937266091937065,7.220648944404309,-0.22851318845767787,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.5089540113671795,13.151343345642092,AV005,2022-05-12
469,,,,1.3855489611471499,-0.27445570605242686,0.35096697498685253,neuron_209,aud,-0.15041882111164329,7.043380537418224,-0.17870780851602786,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.5089540113671795,13.151343345642092,AV005,2022-05-12
470,0.15093441626096898,1.0365739972201362,1.4217035625454268,1.1809284826536033,,,neuron_209,vis,-0.1755130698255687,7.19701879485042,-0.20441912891963998,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.5089540113671795,13.151343345642092,AV005,2022-05-12
471,,,,1.4087305865815405,,,neuron_209,baseline,-0.1420397393897357,6.992080037080014,-0.15124973728803992,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.5089540113671795,13.151343345642092,AV005,2022-05-12
472,0.12305199237789868,0.26883346539158154,2.7873294945883464,0.0005401450873667726,0.059478184699350845,-0.0036564180213179962,neuron_21,audiovisual,-0.020894354195746256,1.5947455268363904,-0.06343161895390237,-1.0,noise,False,SCm,4718.093421673564,9385.117975353582,1711.6433307450193,0.0,0.0282406219988769,17.806054734297547,AV005,2022-05-12
473,,,,0.060240635646416116,0.05671909373422828,-0.0003604850815785237,neuron_21,aud,-0.002464948302969061,1.565956835343516,-0.027115725720255224,-1.0,noise,False,SCm,4718.093421673564,9385.117975353582,1711.6433307450193,0.0,0.0282406219988769,17.806054734297547,AV005,2022-05-12
474,0.12576107355350838,0.26698532327063834,2.6443695448842224,0.01857559469978905,,,neuron_21,vis,-0.02197054651391861,1.5964266536624596,-0.047100969788851144,-1.0,noise,False,SCm,4718.093421673564,9385.117975353582,1711.6433307450193,0.0,0.0282406219988769,17.806054734297547,AV005,2022-05-12
475,,,,0.07936508137620436,,,neuron_21,baseline,-0.004032257860159705,1.5684051395144865,-0.012129292197741615,-1.0,noise,False,SCm,4718.093421673564,9385.117975353582,1711.6433307450193,0.0,0.0282406219988769,17.806054734297547,AV005,2022-05-12
476,-0.008683680840279243,0.7560490486155794,10.0,0.37376945324288224,0.2364480413486834,-0.12181678298345433,neuron_210,audiovisual,-0.0816659888235911,2.514076277877959,-0.12673540502457414,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,0.8699756660430745,27.5590028177748,AV005,2022-05-12
477,,,,0.48192436114242054,0.21983077204537219,-0.12264187255386304,neuron_210,aud,-0.06183450589281758,2.467982695102352,-0.08794519046395233,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,0.8699756660430745,27.5590028177748,AV005,2022-05-12
478,-0.010253356681055653,0.7439724090156289,10.0,0.4155339353803458,,,neuron_210,vis,-0.04700793467153197,2.4335218436243067,-0.07275403142574999,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,0.8699756660430745,27.5590028177748,AV005,2022-05-12
